league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,3,reports,051245M05,051245M05,Fazil Tumwine,ENTEBBE,,9,2005.0,2004-01-01,1,87,1,0,1,1,,,,1,0,0,87.0,1.0,1.0
UPL,2025/26,3,reports,024771M04,024771M04,Issa Bugembe,ENTEBBE,,17,2004.0,2004-01-01,1,19,0,1,0,0,,,,0,0,0,19.0,1.0,1.0
UPL,2025/26,3,reports,040860M05,040860M05,Yusuf Bogere,ENTEBBE,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,065960M08,065960M08,Alli Ismael,EXPRESS,,4,2008.0,2004-01-01,1,30,0,1,0,0,,,,1,0,0,30.0,1.0,1.0
UPL,2025/26,3,reports,063477M06,063477M06,Elvis Ssekajjugo,EXPRESS,,30,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,033032M07,033032M07,Hakim Wandera,EXPRESS,,3,2007.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,058018M05,058018M05,Isa Glory Kisuule,EXPRESS,,29,2005.0,2004-01-01,1,65,0,1,0,0,,,,0,0,0,65.0,1.0,1.0
UPL,2025/26,3,reports,035993M06,035993M06,Khasim Mustapha,EXPRESS,,26,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,010898M04,010898M04,Khassim Hafizi,EXPRESS,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,056374M04,056374M04,Lawrence Muwonge Bukenya,EXPRESS,,28,2004.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,065959M09,065959M09,Victor Kananura Kahindi,EXPRESS,,15,2009.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,052610M04,052610M04,Ivan Mayanja,MAROONS,,10,2004.0,2004-01-01,1,59,1,0,1,1,,,,0,0,0,59.0,3.0,1.0
UPL,2025/26,3,reports,043270M06,043270M06,Jamal Ssemwogerere,MAROONS,,29,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,3,reports,025236M04,025236M04,Abudul Malik Bironse,MBARARA,,28,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,057902M06,057902M06,Ambrose Arinda,MBARARA,,16,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,055878M04,055878M04,Henry Kitegenyi,MBARARA,,9,2004.0,2004-01-01,1,90,1,0,1,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,036009M06,036009M06,Emmanuel Kulanga,NEC,,28,2006.0,2004-01-01,1,54,1,0,1,0,,,,0,0,0,54.0,1.0,1.0
UPL,2025/26,3,reports,057901M05,057901M05,Hudson Mbalire,NEC,,30,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,065371M05,065371M05,Jackson Ssembatya,NEC,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,3,reports,025443M04,025443M04,Joseph Seremba,NEC,,15,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,055885M06,055885M06,Shamiru Kimwero,NEC,,13,2006.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,010972M05,010972M05,Abudshakur Ramsey Jemba,POLICE,,28,2005.0,2004-01-01,1,62,1,0,1,0,,,,0,0,0,62.0,1.0,1.0
UPL,2025/26,3,reports,065938M04,065938M04,Bedia Djuma Ikamba,POLICE,,15,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,055884M06,055884M06,Dennis Kalanzi,POLICE,,10,2006.0,2004-01-01,1,28,0,1,0,0,,,,0,0,0,28.0,1.0,1.0
UPL,2025/26,3,reports,032556M05,032556M05,Rayn Figo Kizito,POLICE,,26,2005.0,2004-01-01,1,19,0,1,0,0,,,,0,0,0,19.0,1.0,1.0
UPL,2025/26,3,reports,022529M05,022529M05,Stephen Namaisi,POLICE,,30,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,3,reports,036011M06,036011M06,Enrique Lubwama,UPDF,,26,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,3,reports,026590M04,026590M04,Shamulan Kamya,UPDF,Goalkeeper,27,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,3,reports,045544M05,045544M05,George Masembe,URA,,14,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
