game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
NEC-VS-CALVARY,8,CALVARY,NEC,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
NEC-VS-CALVARY,8,NEC,CALVARY,home,1,0,1,W,3,True,False,0,0,False,False,False,False
POLICE-VS-KITARA,8,KITARA,POLICE,away,2,1,1,W,3,True,False,0,0,False,False,False,False
POLICE-VS-KITARA,8,POLICE,KITARA,home,1,2,-1,L,0,False,True,0,0,False,False,False,False
UPDF-VS-VILLA,8,VILLA,UPDF,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPDF-VS-VILLA,8,UPDF,VILLA,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
URA-VS-BUHIMBA,8,BUHIMBA,URA,away,3,7,-4,L,0,False,True,0,0,False,False,False,False
URA-VS-BUHIMBA,8,URA,BUHIMBA,home,7,3,4,W,3,True,False,0,0,False,False,False,False
VIPERS-VS-VILLA,8,VILLA,VIPERS,away,1,1,0,D,1,True,False,0,2,False,False,False,True
VIPERS-VS-VILLA,8,VIPERS,VILLA,home,1,1,0,D,1,False,True,1,0,False,True,False,False
BUL-VS-KCCA,9,KCCA,BUL,away,2,1,1,W,3,True,True,3,0,True,False,False,False
BUL-VS-KCCA,9,BUL,KCCA,home,1,2,-1,L,0,True,True,0,3,False,False,True,False
EXPRESS-VS-CALVARY,9,CALVARY,EXPRESS,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
EXPRESS-VS-CALVARY,9,EXPRESS,CALVARY,home,4,0,4,W,3,True,False,0,0,False,False,False,False
MAROONS-VS-VILLA,9,VILLA,MAROONS,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-VILLA,9,MAROONS,VILLA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
