game,player,team,caution,min,added_time,double-caution,md
MAROONS-vs-NEC,Borris Onegi,MAROONS,yellow,83,no,No,8
VIPERS-vs-VILLA,Hassan Mubiru,Villa,yellow,1,no,No,8
VIPERS-vs-VILLA,Kiza Arafat Usama,VIPERS,yellow,35,no,No,8
VIPERS-vs-VILLA,Joseph Youngman Marvin,VIPERS,yellow,38,no,No,8
VIPERS-vs-VILLA,Ibrahim Kasinde,Villa,yellow,45,no,No,8
VIPERS-vs-VILLA,Sula Matovu,Villa,yellow,45(+2),yes,No,8
VIPERS-vs-VILLA,David Owori,Villa,yellow,65,no,No,8
VIPERS-vs-VILLA,Sula Matovu,Villa,yellow,89,no,yes,8
VIPERS-vs-VILLA,Rogers Ochaki Torach,VIPERS,yellow,90(+2),yes,No,8
MAROONS-vs-LUGAZI,Raymond Walugembe,MAROONS,yellow,62,no,No,8
MAROONS-vs-LUGAZI,Freedom Mungudit,LUGAZI,yellow,69,no,No,8
BUL-vs-ENTEBBE,Abdalla Mubiru,ENTEBBE,yellow,53,no,No,8
BUL-vs-ENTEBBE,Jonathan Gift Odongo,ENTEBBE,yellow,61,no,No,8
BUL-vs-ENTEBBE,Fazil Tumwine,ENTEBBE,yellow,88,no,No,8
POLICE-vs-KITARA,Edward Kasibante,POLICE,yellow,9,no,No,8
POLICE-vs-KITARA,Saidi Kyeyune,POLICE,yellow,25,no,No,8
POLICE-vs-KITARA,Jimmy Kalema,KITARA,yellow,29,no,No,8
POLICE-vs-KITARA,Meddie Kibirige,KITARA,yellow,45(+1),yes,No,8
UPDF-vs-VILLA,Aslam Ssemakula,Villa,yellow,90(+4),yes,No,8
MBARARA-vs-KCCA,Charles Lukwago,KCCA,yellow,72,no,No,8
MBARARA-vs-KCCA,Gadaffi Kacancu,MBARARA,yellow,77,no,No,8
URA-vs-BUHIMBA,Charles Kyomuhendo,BUHIMBA,yellow,41,no,No,8
URA-vs-BUHIMBA,George Masembe,URA,yellow,53,no,No,8
URA-vs-BUHIMBA,Moses Okabo Aliro,URA,yellow,62,no,No,8
URA-vs-BUHIMBA,Martin Philip Opolot,BUHIMBA,yellow,68,no,No,8
URA-vs-BUHIMBA,John Bosco Sempijja,BUHIMBA,yellow,71,no,No,8
URA-vs-BUHIMBA,Faizo Matovu,URA,yellow,85,no,No,8
NEC-vs-CALVARY,Daniel Opio,CALVARY,yellow,33,no,No,8
NEC-vs-CALVARY,CHARLES MOSES WAIBI,NEC,yellow,88,no,No,8
